measurement_id,figure_id,source_pdf_sha256,source_locator,feature,evidence_class,x0_mm_rectified,y0_mm_rectified,x1_mm_rectified,y1_mm_rectified,reported_value,unit,image_readout_uncertainty,model_form_uncertainty,allowed_use,forbidden_use
V01,GEN1_TOP_RENDER_OBJECT_006,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 upper product render; pdfimages RGB object 006 plus soft mask 007,V01_rear_left,I,7.25,3.00,8.95,17.10,,mm_after_projective_rectification,+/-0.50 mm,stylized marketing render; second-view center shift reaches millimeter scale (up to about 2.6 mm),candidate top-cover vent placement and normalized layout comparison,"manufacturing tolerance, internal cell count, membrane dimensions"
V02,GEN1_TOP_RENDER_OBJECT_006,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 upper product render; pdfimages RGB object 006 plus soft mask 007,V02_rear_right,I,17.25,3.00,18.95,17.30,,mm_after_projective_rectification,+/-0.50 mm,stylized marketing render; second-view center shift reaches millimeter scale (up to about 2.6 mm),candidate top-cover vent placement and normalized layout comparison,"manufacturing tolerance, internal cell count, membrane dimensions"
V03,GEN1_TOP_RENDER_OBJECT_006,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 upper product render; pdfimages RGB object 006 plus soft mask 007,V03_outlet_left,I,7.15,19.00,8.95,33.50,,mm_after_projective_rectification,+/-0.50 mm,stylized marketing render; second-view center shift reaches millimeter scale (up to about 2.6 mm),candidate top-cover vent placement and normalized layout comparison,"manufacturing tolerance, internal cell count, membrane dimensions"
V04,GEN1_TOP_RENDER_OBJECT_006,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 upper product render; pdfimages RGB object 006 plus soft mask 007,V04_outlet_right,I,17.50,19.20,19.10,34.10,,mm_after_projective_rectification,+/-0.50 mm,stylized marketing render; second-view center shift reaches millimeter scale (up to about 2.6 mm),candidate top-cover vent placement and normalized layout comparison,"manufacturing tolerance, internal cell count, membrane dimensions"
CS01,GEN1_OFFICIAL_CROSS_SECTION,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 cross section of AirJet module,multiple vibrating membranes,D,,,,,present,qualitative,not applicable,topology only,product topology and total-envelope constraint,scaled internal thicknesses or green-wave cell count
CS02,GEN1_OFFICIAL_CROSS_SECTION,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 cross section of AirJet module,pulsating jets directed toward heat-spreader channel,D,,,,,present,qualitative,not applicable,flow topology only,product topology and total-envelope constraint,scaled internal thicknesses or green-wave cell count
CS03,GEN1_OFFICIAL_CROSS_SECTION,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 cross section of AirJet module,single-side integrated spout/exhaust direction,D,,,,,present,qualitative,not applicable,flow topology only,product topology and total-envelope constraint,scaled internal thicknesses or green-wave cell count
CS04,GEN1_OFFICIAL_CROSS_SECTION,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 cross section of AirJet module,heat spreader below jet channel and above processor,D,,,,,present,qualitative,not applicable,stack order only,product topology and total-envelope constraint,scaled internal thicknesses or green-wave cell count
CS05,GEN1_OFFICIAL_CROSS_SECTION,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 cross section of AirJet module,total module thickness,D,,,,,2.8,mm,as reported,metric table and figure label,product topology and total-envelope constraint,scaled internal thicknesses or green-wave cell count
CS06,GEN1_OFFICIAL_CROSS_SECTION,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd,page 1 cross section of AirJet module,internal layer and cavity thickness proportions,U,,,,,,qualitative,not applicable,schematic; not dimensionable,product topology and total-envelope constraint,scaled internal thicknesses or green-wave cell count
