interface_id,side_a_feature_id,side_b_feature_id,interface_role,topology_class,geometry_class,source_locator,named_selection_a,named_selection_b,contact_or_coupling,interface_mode,solver_behavior,connectivity_required,requirement_scope,orientation_rule,area_rule,mass_flow_check_group,branch_id,nonconformal_allowed_p1,promotion_gate,status,product_fact
IF001,EXTERNAL_INLET_DOMAIN_C,TOP_COVER_CAND,optional external inlet domain to four vent faces,I,C,p1_cad_features.csv parameter/source boundary,NS_EXTERNAL_PLENUM_VENT_FACES_C,NS_VENT_DRAWN_SET_I,FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,false,P1_OPTIONAL_P4_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P4_OPTIONAL_EXTERNAL,P1_OPTIONAL_EXTERNAL_DOMAIN,true,P4_ENTRY,NOT_BUILT,false
IF002,TOP_COVER_CAND,VENT_RISER_FLUID_CAND,four vent openings to four explicit R0 risers before union into the upstream fluid body,I,C,p1_cad_features.csv parameter/source boundary,NS_VENT_DRAWN_SET_I,NS_VENT_RISER_INLET_FACES_C,FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G2_CONNECTIVITY,NOT_BUILT,false
IF003,TOP_CHAMBER_FLUID_CAND_TEMPLATE,PERIMETER_GAP_FLUID_CAND_TEMPLATE,top plenum to each perimeter transfer,P,C,p1_cad_features.csv parameter/source boundary,NS_TOP_PLENUM_TO_PERIM__CELL_{NNN},NS_PERIM_FROM_TOP__CELL_{NNN},FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G2_CONNECTIVITY,NOT_BUILT,false
IF004,PERIMETER_GAP_FLUID_CAND_TEMPLATE,BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,each perimeter transfer to bottom chamber,P,C,p1_cad_features.csv parameter/source boundary,NS_PERIM_TO_BOTTOM__CELL_{NNN},NS_BOTTOM_FROM_PERIM__CELL_{NNN},FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G2_CONNECTIVITY,NOT_BUILT,false
IF005,BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,ORIFICE_FLUID_SET_CAND_TEMPLATE,bottom chamber to orifice throats,P,C,p1_cad_features.csv parameter/source boundary,NS_BOTTOM_TO_ORIFICE__CELL_{NNN},NS_ORIFICE_FROM_BOTTOM__CELL_{NNN},FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G4_ORIFICE_CLOSURE,NOT_BUILT,false
IF006,ORIFICE_FLUID_SET_CAND_TEMPLATE,IMPINGEMENT_CHANNEL_FLUID_CAND,orifice exits to full-product impingement channel,P,C,p1_cad_features.csv parameter/source boundary,NS_ORIFICE_EXIT__CELL_{NNN},NS_IMPINGEMENT_FROM_ORIFICE__CELL_{NNN},FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G4_ORIFICE_CLOSURE,NOT_BUILT,false
IF007,IMPINGEMENT_CHANNEL_FLUID_CAND,EXHAUST_MANIFOLD_FLUID_CAND,impingement channel to exhaust collection,C,C,p1_cad_features.csv parameter/source boundary,NS_IMPINGEMENT_TO_MANIFOLD_CAND,NS_MANIFOLD_FROM_IMPINGEMENT_CAND,FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G2_CONNECTIVITY,NOT_BUILT,false
IF008,EXHAUST_MANIFOLD_FLUID_CAND,SPOUT_FLUID_CAND,manifold to single-side spout,I,C,p1_cad_features.csv parameter/source boundary,NS_MANIFOLD_TO_SPOUT_CAND,NS_SPOUT_FROM_MANIFOLD_CAND,FLUID_CONTINUITY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P1_G2_CONNECTIVITY,NOT_BUILT,false
IF009,SPOUT_FLUID_CAND,EXTERNAL_OUTLET_DOMAIN_C,optional product outlet to external outlet domain,I,C,p1_cad_features.csv parameter/source boundary,NS_PRODUCT_OUTLET_CAND,NS_EXTERNAL_FROM_PRODUCT_C,FLUID_CONTINUITY_OR_OUTLET_BOUNDARY,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,false,P1_OPTIONAL_P4_REQUIRED,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P4_OPTIONAL_EXTERNAL,P1_OPTIONAL_EXTERNAL_DOMAIN,true,P4_ENTRY,NOT_BUILT,false
IF010,MEMBRANE_CAND_TEMPLATE,TOP_CHAMBER_FLUID_CAND_TEMPLATE,membrane top moving wall candidate,P,C,p1_cad_features.csv parameter/source boundary,NS_MEMBRANE_TOP__CELL_{NNN},NS_TOP_PLENUM_MEMBRANE_WALL__CELL_{NNN},FUTURE_MOVING_WALL_OR_FSI,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED_P2_P3_CONSUMER,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P2_P3_ENTRY,NOT_BUILT,false
IF011,MEMBRANE_CAND_TEMPLATE,BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,membrane bottom moving wall candidate,P,C,p1_cad_features.csv parameter/source boundary,NS_MEMBRANE_BOTTOM__CELL_{NNN},NS_BOTTOM_CHAMBER_MEMBRANE_WALL__CELL_{NNN},FUTURE_MOVING_WALL_OR_FSI,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED_P2_P3_CONSUMER,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P2_P3_ENTRY,NOT_BUILT,false
IF012,IMPINGEMENT_CHANNEL_FLUID_CAND,HEAT_SPREADER_CAND,impingement fluid to heat wall,P,C,p1_cad_features.csv parameter/source boundary,NS_IMPINGEMENT_HEAT_WALL_FLUID_CAND,NS_HEAT_SPREADER_FLUID_FACE_CAND,FUTURE_CHT_WALL,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,true,P1_REQUIRED_P5_CONSUMER,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P1_FULL_PATH,ALL_P1_VARIANTS,true,P5_ENTRY,NOT_BUILT,false
IF013,HEAT_SPREADER_CAND,TIM_EQUIVALENT_C,spreader to system TIM,C,C,p1_cad_features.csv parameter/source boundary,NS_SPREADER_TO_TIM_CAND,NS_TIM_TO_SPREADER_CAND,FUTURE_CHT_CONTACT,PAIRED_NONCONFORMAL_OR_MATCHED_FACE,UNASSIGNED_P1_CONTRACT_ONLY,false,P5_ONLY,NORMALS_OPPOSE_ACROSS_INTERNAL_INTERFACE_OR_OUTWARD_AT_EXTERNAL_BOUNDARY,MATCH_GEOMETRY_OR_RECORD_CONSERVATIVE_NONCONFORMAL_INTERFACE,P5_THERMAL_ONLY,P5_ONLY,true,P5_ENTRY,NOT_BUILT,false
